Division,Dept,INS1,INS2,INS3,INS4,INS5,INS6,ARTSC1,ARTSC2,ARTSC3,APSC001,APSC002,APSC003,APSC004,APSC005,APSC006,APSC007,APSC008,Course Workload,I would recommend this course,I attended class,Inspired to learn subject matter,UTSC1,UTSC2,UTSC3
ARTSC,ARCLA,3.863716166788588,4.160497439648866,4.032626188734455,3.831163130943672,3.8953182150694956,3.704316020482809,3.5323335771762983,3.0416239941477685,3.7539136795903434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ASABS,4.302615963226076,4.423694107814459,4.3387379857918935,4.261470956957794,4.325741746761388,4.170539072294192,3.958963643961554,3.094734642707898,4.319974926870038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ASDN,3.1875,3.4375,3.683333333333333,3.2,3.3999999999999995,2.975,3.7666666666666666,3.1875,3.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ASI,4.154828193832599,4.189603524229074,4.184405286343613,3.9962114537444933,4.0824669603524235,3.924229074889868,3.728458149779736,3.4274008810572685,3.8891629955947136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ASSEM,3.8934714705427553,4.04547703726612,4.199164991495284,3.894649760321633,3.9876480593783823,3.7953919901036026,3.495976496056904,2.867901654553889,3.854476573372507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,AST,4.191097061933882,4.3730516345579105,4.277081245114718,4.06008000367833,4.066203503609361,4.021049243643386,3.9926801232240563,2.990078624304566,4.185643477861051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,BCH,3.852083447833654,4.048897132911972,3.838539891911697,3.456186681322708,3.421475680131904,3.3113043876522856,3.5572006961619493,3.749316662086654,3.17378034258496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CCS,4.529411764705882,4.642857142857143,4.494117647058824,4.468907563025209,4.501680672268908,4.370588235294118,4.576470588235295,3.1865546218487393,4.421848739495799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CERES,4.544068241469816,4.643832020997375,4.686351706036746,4.452755905511811,4.456955380577428,4.49002624671916,4.430577427821522,3.071916010498688,4.556824146981627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CFE,3.5921810699588477,3.7825788751714677,3.951714677640604,3.6661179698216735,3.7643347050754454,3.5349794238683128,0.0,2.937448559670782,3.656104252400549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CHM,3.904729458917836,3.9966683051637863,3.966615747217706,3.6755327006213685,3.635925183700735,3.433186372745491,3.6542012326539868,3.8414552375190634,3.4122133575326754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CINE,4.2273055391868,4.3795816146140245,4.287389510901591,4.073541543901002,4.172024160282852,4.038450206246317,4.059737772539776,3.2132881555686503,4.098261638185033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CLAS,4.130247933884298,4.353561589925226,4.265556867375049,3.9989846517119245,4.113900039354585,3.9911137347500985,3.799724517906336,3.1866902794175522,3.9807162534435263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,COMPG,4.032810787968427,4.1820386664453135,4.308661464857604,4.045310071084683,4.063367995291206,3.9433043058301513,4.013622300366742,3.2655759972230185,3.9276958601850316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CRIM,4.169837937384899,4.273284223449969,4.249122160834868,3.991025168815224,4.062774708410068,3.9434376918354817,4.273210558624924,3.3512829957028853,3.9962062615101286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CSB,3.966464914395949,4.14386895236425,4.0211846460749285,3.725015016331631,3.72585154657255,3.6367755442050114,3.63178814915492,3.403264353201657,3.689179034132012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
